代理账号,产品类型,支付方式,银行代码,卡种,费率类型,费率值,固定收取,最小手续费,最大手续费,生效时间,失效时间,状态
88888888,Pay,EBank,,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,ABC,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,BCOM,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,BOC,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,CCB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,CEB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,CIB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,CITIC,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,CMB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,CMBC,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,GDB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,HXB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,HZB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,ICBC,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,NJCB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,PAB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,PSBC,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,SHB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,SPDB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,EBank,SRCB,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,OnlineAlipayH5,,DEBIT,Rate,0.01,0,0.1,999999,2018/9/16,,Normal
88888888,Pay,OnlineAlipayQR,,DEBIT,Rate,0.03,0,0.1,999999,2018/9/16,,Normal
88888888,Pay,OnlineWechatH5,,DEBIT,Rate,0.035,0,0.1,999999,2018/9/16,,Normal
88888888,Pay,OnlineWechatQR,,DEBIT,Rate,0.035,0,0.1,999999,2018/9/16,,Normal
88888888,Pay,Quick,,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,ABC,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,BCOM,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,BOC,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,CCB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,CEB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,CIB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,CITIC,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,CMB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,CMBC,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,GDB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,HXB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,HZB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,ICBC,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,NJCB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,PAB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,PSBC,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,SHB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,SPDB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,Quick,SRCB,DEBIT,Rate,0.0095,0,0.1,999999,2018/10/12,,Normal
88888888,Pay,UnionPayQR,,DEBIT,Rate,0.01,0,0.1,999999,2018/10/12,,Normal
88888888,Settlement,D0Settlement,,,FixedValue,0,0,,,2018/9/16,,Normal
88888888,Recharge,EnterpriseEBank,',DEBIT,Mixed,0.005000,15.00,0.01,999999,2018-10-08,',Normal
88888888,Recharge,PersonalEBank,',DEBIT,Mixed,0.008000,0.00,0.01,999999,2018-10-08,',Normal
